page_path,file_size_kb,quality_score,lighthouse_performance,lighthouse_accessibility,lighthouse_seo,lighthouse_overall,title_present,title_optimal,meta_desc_present,meta_desc_optimal,h1_present,schema_present,schema_valid,cta_phone,cta_whatsapp,mobile_optimized,images_count,images_alt_pct,internal_links,status
index.html,30.81,65,98,96,94,97.0,True,False,True,False,True,False,False,True,True,True,11,100.0,12,WARN
sss.html,33.11,77,94,88,98,94.5,True,True,True,True,True,False,False,True,True,True,0,0,20,WARN
hizmetler/kuru-temizleme.html,25.64,61,86,88,92,90.0,True,False,True,False,True,False,False,True,False,True,4,100.0,12,WARN
hizmetler/hali-yikama.html,19.46,61,92,88,97,93.2,True,False,True,False,True,False,False,True,False,True,4,100.0,13,WARN
hizmetler/koltuk-yikama.html,19.86,61,90,93,96,93.5,True,False,True,False,True,False,False,True,False,True,4,100.0,13,WARN
seo/outputs/generated_pages/bolgeleratasehirornek-abiye-temizleme.html,12.3,80,92,91,92,91.8,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgelerkadikoyzuhtupasa-canta-temizleme.html,12.44,80,98,91,96,93.8,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehirmustafa-kemal-valiz-temizleme.html,12.65,80,93,96,97,95.2,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgelerkadikoyerenkoy-utu-hizmetleri.html,12.42,80,97,96,98,95.2,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgelerkadikoymoda-bavul-temizleme.html,12.2,80,92,93,99,93.8,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgelerkadikoysahrayicedit-gelinlik-temizleme.html,12.59,80,85,94,92,92.2,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgelerkadikoyzuhtupasa-gelinlik-temizleme.html,12.49,80,91,88,94,92.2,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehirmerkez-utu-hizmetleri.html,12.47,80,96,93,96,94.5,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgelerkadikoyerenkoy-koltuk-yikama.html,12.2,80,98,91,93,93.0,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehirmustafa-kemal-perde-temizleme.html,12.47,80,87,90,99,92.0,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehiresatpasa-gelinlik-temizleme.html,12.36,80,96,93,96,94.8,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgelerkadikoykalamis-kumas-deri-boyama.html,12.53,80,90,96,100,95.8,True,True,True,True,True,False,False,True,True,True,0,0,19,PASS
seo/outputs/generated_pages/bolgeleratasehirbarbaros-hali-yikama.html,12.17,80,91,93,95,92.2,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehirferhatpasa-canta-temizleme.html,12.4,80,92,89,100,93.2,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
seo/outputs/generated_pages/bolgeleratasehirornek-gelinlik-temizleme.html,12.21,80,97,91,96,94.2,True,True,True,True,True,False,False,True,True,True,0,0,18,PASS
