Slug,Tema,Başlık,Öncelik,Örnek URL 1,Örnek URL 2,Örnek URL 3,Önerilen Arama,Seçilen URL,Notlar
"kuru-temizleme","profesyonel","Kuru Temizleme Blog | İstanbul Hassas Kumaş Temizleme Rehberleri","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"evde-hali-carei-ve-professional-washing-guide","halı","Evde Halı Bakımı ve Profesyonel Yıkama Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1540932239986-30128078f3c5?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&h=630&fit=crop","carpet cleaning; rug care; floor cleaning; textile maintenance","",""
"koltuk-yikama","mobilya","Koltuk Yıkama Blog | İstanbul Anadolu Yakası Koltuk Temizleme Rehberleri","CRITICAL","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1563298723-dcfebaa392e3?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1582037928769-181f2644ecb7?w=1200&h=630&fit=crop","furniture cleaning; upholstery care; sofa cleaning; furniture maintenance","",""
"complete-home-textile-maintenance-manual","profesyonel","Ev Tekstillerinin Kapsamlı Bakım ve Temizlik El Kitabı 2025 | Dry Alle","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"ultimate-turkish-dry-cleaning-guide","profesyonel","Türkiye'nin En Kapsamlı Kuru Temizleme Rehberi 2025 | Dry Alle Expert Guide","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"utu-hizmetleri","profesyonel","Ütü Hizmetleri Blog | İstanbul Anadolu Yakası Profesyonel Ütüleme Rehberleri","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"ev-utusu-vs-professional-utu-hizmeti","profesyonel","Ev Ütüsü vs Profesyonel Ütü Hizmeti | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"ev-tekstili","perde","Ev Tekstili Blog | İstanbul Anadolu Yakası Ev Tekstili Bakım Rehberleri","CRITICAL","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=1200&h=630&fit=crop","curtain cleaning; window treatment; home textile; curtain care","",""
"istanbul-seasonal-clothing-care-calendar","leke","İstanbul İklim Şartlarına Göre Mevsimsel Kıyafet Bakım Takvimi 2025 | Dry Alle","CRITICAL","https://images.unsplash.com/photo-1628177142898-93e36e4e3a50?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","stain removal; cleaning process; before after; stain treatment","",""
"ayakkabi-ve-deri-urunler-care-guide","deri","Ayakkabı ve Deri Ürünler Bakım Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"ev-tekstillerinin-care-ve-cleaning-guide","profesyonel","Ev Tekstillerinin Bakım ve Temizlik Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"canta-temizleme","deri","Çanta Temizleme Blog | İstanbul Anadolu Yakası Çanta Bakım Rehberleri","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"hali-yikama","halı","Halı Yıkama Blog | İstanbul Anadolu Yakası Halı Temizleme Rehberleri","CRITICAL","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1540932239986-30128078f3c5?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&h=630&fit=crop","carpet cleaning; rug care; floor cleaning; textile maintenance","",""
"kumas-deri-boyama","deri","Kumaş Deri Boyama Blog | İstanbul Anadolu Yakası Renk Yenileme Rehberleri","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"hassas-kumaslar-dry-cleaning-guide","profesyonel","Hassas Kumaşlar İçin Kuru Temizleme Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"ev-perdelerinizi-temiz-tutma-guide","perde","Ev Perdelerinizi Temiz Tutma Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=1200&h=630&fit=crop","curtain cleaning; window treatment; home textile; curtain care","",""
"deri-ve-kumas-canta-care-guide","deri","Deri ve Kumaş Çanta Bakım Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"perde-temizleme","perde","Perde Temizleme Blog | İstanbul Anadolu Yakası Perde Bakım Rehberleri","CRITICAL","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=1200&h=630&fit=crop","curtain cleaning; window treatment; home textile; curtain care","",""
"solmus-kiyafetlere-yeni-hayat-verme-guide","deri","Solmuş Kıyafetlere Yeni Hayat Verme Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"lostra-hizmeti","deri","Lostra Hizmeti Blog | İstanbul Anadolu Yakası Ayakkabı Parlatma Rehberleri","CRITICAL","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop","leather care; leather cleaning; leather jacket; leather maintenance","",""
"kumas-ve-deri-koltuk-temizligi-guide","mobilya","Kumaş ve Deri Koltuk Temizliği Rehberi | Dry Alle İstanbul","CRITICAL","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1563298723-dcfebaa392e3?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1582037928769-181f2644ecb7?w=1200&h=630&fit=crop","furniture cleaning; upholstery care; sofa cleaning; furniture maintenance","",""
"vintage-clothing-ozel-care","profesyonel","Vintage Kiyafetler Ozel Bakim: Uzman Rehberi | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"outdoor-textile-urunleri-carei","profesyonel","Outdoor Tekstil Urunleri Bakimi: Uzman Rehberi | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"is-kiyafetleri-professional-care","profesyonel","Iş Kiyafetleri Profesyonel Bakim: Uzman Rehberi | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1556228720-195a672e8a03?w=1200&h=630&fit=crop","professional dry cleaning; laundry service; textile care; cleaning equipment; uniform care","",""
"wedding-season-wedding-dress-carei","gelinlik","Duggun Sezonu Gelinlik Bakimi: Uzman Rehberi | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1519657337289-077653f724ed?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1594736797933-d0d15d95c6a9?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1515934751635-c81c6bc9a2d8?w=1200&h=630&fit=crop","wedding dress; bridal gown; dress care; special occasion","",""
"wedding-dress-temizleme-ultimate-rehber","gelinlik","Ultimate Gelinlik Rehberi: A'dan Z'ye | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1519657337289-077653f724ed?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1594736797933-d0d15d95c6a9?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1515934751635-c81c6bc9a2d8?w=1200&h=630&fit=crop","wedding dress; bridal gown; dress care; special occasion","",""
"professional-vs-evde-carpet-cleaning-comparison","halı","Profesyonel vs Ev Yapımı: Hali Yikama Kıyaslaması | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1540932239986-30128078f3c5?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&h=630&fit=crop","carpet cleaning; rug care; floor cleaning; textile maintenance","",""
"hali-color-fading-onleme-methods","halı","Hali Renk Solmasi Onleme Yontemleri: Uzman Rehberi | Dry Alle Blog","NORMAL","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1540932239986-30128078f3c5?w=1200&h=630&fit=crop","https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&h=630&fit=crop","carpet cleaning; rug care; floor cleaning; textile maintenance","",""
